BUDGET FISCAL YEAR,DEPARTMENT NAME,TOTAL BUDGET
2017,RECREATION AND PARKS,$996.88 
2018,PUBLIC WORKS - SANITATION,"$1,000.00 "
2017,PUBLIC WORKS - SANITATION,"$1,000.00 "
2016,PUBLIC WORKS - STREET SERVICES,"$1,000.00 "
2015,PUBLIC WORKS - SANITATION,"$1,000.00 "
2014,PUBLIC WORKS - SANITATION,"$1,000.00 "
2016,PUBLIC WORKS - SANITATION,"$1,000.00 "
2018,NEIGHBORHOOD EMPOWERMENT,"$1,000.00 "
2015,MAYOR,"$1,000.00 "
2014,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2013,PUBLIC WORKS - STREET SERVICES,"$1,000.00 "
2015,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,000.00 "
2015,PUBLIC WORKS - STREET SERVICES,"$1,000.00 "
2013,PENSION,"$1,000.00 "
2017,EMERGENCY OPERATIONS BOARD,"$1,000.00 "
2014,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2015,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2013,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2016,EMPLOYEE RELATIONS BOARD,"$1,000.00 "
2017,EMPLOYEE RELATIONS BOARD,"$1,000.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,000.00 "
2012,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2016,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2018,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2015,POLICE,"$1,000.00 "
2018,CANNABIS,"$1,000.00 "
2012,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,000.00 "
2016,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2017,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,000.00 "
2015,POLICE,"$1,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,000.00 "
2017,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2018,EMPLOYEE RELATIONS BOARD,"$1,000.00 "
2018,PUBLIC WORKS - STREET LIGHTING,"$1,000.00 "
2017,EMERGENCY OPERATIONS BOARD,"$1,000.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$1,000.00 "
2017,MAYOR,"$1,000.35 "
2016,MAYOR,"$1,005.00 "
2018,CULTURAL AFFAIRS,"$1,020.80 "
2018,TRANSPORTATION,"$1,021.05 "
2017,CULTURAL AFFAIRS,"$1,023.92 "
2016,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$1,025.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,026.47 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,026.94 "
2014,MAYOR,"$1,027.01 "
2016,MAYOR,"$1,028.16 "
2013,CITY ADMINISTRATIVE OFFICER,"$1,038.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,059.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,060.65 "
2014,MAYOR,"$1,061.22 "
2012,TRANSPORTATION,"$1,075.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,076.30 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,083.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,084.00 "
2016,MAYOR,"$1,084.18 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,084.74 "
2013,MAYOR,"$1,085.38 "
2017,RECREATION AND PARKS,"$1,086.28 "
2012,NEIGHBORHOOD EMPOWERMENT,"$1,086.71 "
2017,CITY ATTORNEY,"$1,096.73 "
2014,CONTROLLER,"$1,099.99 "
2017,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,100.00 "
2015,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,100.00 "
2018,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,100.00 "
2016,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,100.00 "
2012,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,100.00 "
2014,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,100.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,101.00 "
2017,RECREATION AND PARKS,"$1,103.87 "
2018,CULTURAL AFFAIRS,"$1,112.80 "
2017,RECREATION AND PARKS,"$1,115.07 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,118.29 "
2017,RECREATION AND PARKS,"$1,123.47 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,124.40 "
2013,CITY ETHICS COMMISSION,"$1,125.00 "
2016,CITY ETHICS COMMISSION,"$1,125.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,150.00 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,152.14 "
2013,MAYOR,"$1,153.28 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,153.63 "
2018,NEIGHBORHOOD EMPOWERMENT,"$1,155.00 "
2017,ZOO,"$1,155.00 "
2016,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,156.48 "
2012,CULTURAL AFFAIRS,"$1,156.77 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,157.82 "
2012,MAYOR,"$1,157.84 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,158.00 "
2016,CULTURAL AFFAIRS,"$1,161.27 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,163.00 "
2017,MAYOR,"$1,168.01 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,169.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,183.60 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,184.00 "
2012,CITY ADMINISTRATIVE OFFICER,"$1,189.89 "
2014,CITY ADMINISTRATIVE OFFICER,"$1,192.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,194.42 "
2017,CITY PLANNING,"$1,198.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,200.00 "
2016,EMPLOYEE RELATIONS BOARD,"$1,200.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,200.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,200.00 "
2013,EMPLOYEE RELATIONS BOARD,"$1,200.00 "
2012,EMPLOYEE RELATIONS BOARD,"$1,200.00 "
2014,EMPLOYEE RELATIONS BOARD,"$1,200.00 "
2015,EMPLOYEE RELATIONS BOARD,"$1,200.00 "
2018,EMPLOYEE RELATIONS BOARD,"$1,200.00 "
2017,EMPLOYEE RELATIONS BOARD,"$1,200.00 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,200.83 "
2014,CULTURAL AFFAIRS,"$1,211.05 "
2015,CITY ADMINISTRATIVE OFFICER,"$1,224.00 "
2013,MAYOR,"$1,228.04 "
2017,RECREATION AND PARKS,"$1,228.78 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,228.80 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,230.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,232.16 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,236.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,238.00 "
2015,DISABILITY,"$1,241.16 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,247.05 "
2012,CITY ATTORNEY,"$1,248.52 "
2016,CULTURAL AFFAIRS,"$1,250.35 "
2014,MAYOR,"$1,250.91 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,258.00 "
2018,CULTURAL AFFAIRS,"$1,268.69 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,273.72 "
2015,TRANSPORTATION,"$1,276.25 "
2017,CITY ATTORNEY,"$1,285.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,289.00 "
2012,CULTURAL AFFAIRS,"$1,296.09 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,296.94 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,300.00 "
2018,CITY ATTORNEY,"$1,303.58 "
2014,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,310.00 "
2014,NEIGHBORHOOD EMPOWERMENT,"$1,310.07 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,313.67 "
2014,GENERAL SERVICES,"$1,314.45 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,317.22 "
2013,CITY ADMINISTRATIVE OFFICER,"$1,320.00 "
2016,CITY ATTORNEY,"$1,324.80 "
2012,CULTURAL AFFAIRS,"$1,329.84 "
2012,POLICE,"$1,332.00 "
2012,CULTURAL AFFAIRS,"$1,337.00 "
2015,AGING,"$1,337.00 "
2014,MAYOR,"$1,348.62 "
2013,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,350.00 "
2017,RECREATION AND PARKS,"$1,350.45 "
2013,MAYOR,"$1,362.24 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,364.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,371.43 "
2015,NEIGHBORHOOD EMPOWERMENT,"$1,376.97 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,380.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,381.38 "
2015,ZOO,"$1,383.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,384.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,384.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,384.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,399.00 "
2012,ANIMAL SERVICES,"$1,400.00 "
2012,POLICE,"$1,400.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,400.69 "
2014,ANIMAL SERVICES,"$1,400.87 "
2015,CULTURAL AFFAIRS,"$1,401.88 "
2014,CULTURAL AFFAIRS,"$1,403.36 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,404.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,404.00 "
2017,MAYOR,"$1,404.26 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,405.49 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,408.00 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,414.13 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,415.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,416.00 "
2016,CULTURAL AFFAIRS,"$1,416.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,418.25 "
2016,CITY ADMINISTRATIVE OFFICER,"$1,422.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,422.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,435.91 "
2017,CITY ADMINISTRATIVE OFFICER,"$1,438.00 "
2018,CULTURAL AFFAIRS,"$1,442.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,444.00 "
2014,CULTURAL AFFAIRS,"$1,448.02 "
2015,NEIGHBORHOOD EMPOWERMENT,"$1,463.00 "
2018,NEIGHBORHOOD EMPOWERMENT,"$1,463.27 "
2015,POLICE,"$1,467.88 "
2016,CULTURAL AFFAIRS,"$1,469.04 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,472.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,473.70 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,480.25 "
2015,CULTURAL AFFAIRS,"$1,485.36 "
2017,MAYOR,"$1,485.48 "
2017,RECREATION AND PARKS,"$1,488.00 "
2017,RECREATION AND PARKS,"$1,498.23 "
2014,MAYOR,"$1,500.00 "
2017,POLICE,"$1,500.00 "
2012,AGING,"$1,500.00 "
2016,NEIGHBORHOOD EMPOWERMENT,"$1,500.00 "
2017,COUNCIL,"$1,500.00 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,500.00 "
2012,BUILDING AND SAFETY,"$1,500.00 "
2016,CITY CLERK,"$1,500.00 "
2017,BUILDING AND SAFETY,"$1,500.00 "
2013,CITY CLERK,"$1,500.00 "
2013,BUILDING AND SAFETY,"$1,500.00 "
2015,BUILDING AND SAFETY,"$1,500.00 "
2016,BUILDING AND SAFETY,"$1,500.00 "
2014,BUILDING AND SAFETY,"$1,500.00 "
2016,CITY CLERK,"$1,500.00 "
2018,BUILDING AND SAFETY,"$1,500.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,500.00 "
2015,CULTURAL AFFAIRS,"$1,500.00 "
2017,RECREATION AND PARKS,"$1,500.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,500.21 "
2015,NEIGHBORHOOD EMPOWERMENT,"$1,500.72 "
2017,CULTURAL AFFAIRS,"$1,504.88 "
2017,RECREATION AND PARKS,"$1,506.78 "
2017,RECREATION AND PARKS,"$1,506.84 "
2018,CULTURAL AFFAIRS,"$1,507.11 "
2017,CULTURAL AFFAIRS,"$1,514.30 "
2016,CULTURAL AFFAIRS,"$1,520.00 "
2014,CULTURAL AFFAIRS,"$1,524.29 "
2012,ANIMAL SERVICES,"$1,533.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,544.40 "
2015,CULTURAL AFFAIRS,"$1,555.57 "
2014,TRANSPORTATION,"$1,558.07 "
2015,POLICE,"$1,558.15 "
2015,MAYOR,"$1,558.97 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,562.88 "
2017,CULTURAL AFFAIRS,"$1,578.56 "
2013,MAYOR,"$1,579.69 "
2016,CULTURAL AFFAIRS,"$1,592.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,596.10 "
2013,MAYOR,"$1,600.00 "
2018,CITY CLERK,"$1,600.88 "
2017,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$1,603.86 "
2013,CULTURAL AFFAIRS,"$1,611.92 "
2012,MAYOR,"$1,614.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,618.25 "
2013,CULTURAL AFFAIRS,"$1,623.81 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,625.02 "
2017,CULTURAL AFFAIRS,"$1,638.33 "
2016,AGING,"$1,649.00 "
2015,CITY CLERK,"$1,651.23 "
2015,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$1,654.72 "
2016,CULTURAL AFFAIRS,"$1,660.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,661.70 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,673.48 "
2018,NON-DEPARTMENTAL - GENERAL,"$1,677.60 "
2017,POLICE,"$1,680.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$1,690.00 "
2012,MAYOR,"$1,700.00 "
2015,ANIMAL SERVICES,"$1,700.00 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,702.00 "
2013,POLICE,"$1,706.04 "
2016,CITY ATTORNEY,"$1,711.50 "
2016,CULTURAL AFFAIRS,"$1,714.06 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,714.48 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,722.32 "
2012,EMERGENCY OPERATIONS BOARD,"$1,730.00 "
2017,FIRE,"$1,733.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,734.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,734.00 "
2015,CITY PLANNING,"$1,735.00 "
2013,CITY PLANNING,"$1,735.00 "
2016,CITY PLANNING,"$1,735.00 "
2015,NON-DEPARTMENTAL - GENERAL,"$1,738.00 "
2015,AGING,"$1,738.00 "
2016,CULTURAL AFFAIRS,"$1,746.66 "
2013,MAYOR,"$1,749.32 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,764.67 "
2012,POLICE,"$1,766.90 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,772.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,776.28 "
2013,CITY ATTORNEY,"$1,788.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$1,791.00 "
2015,CULTURAL AFFAIRS,"$1,793.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,798.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,800.00 "
2016,DISABILITY,"$1,800.00 "
2013,CULTURAL AFFAIRS,"$1,800.81 "
2012,CITY CLERK,"$1,805.32 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,817.00 "
2016,CULTURAL AFFAIRS,"$1,818.73 "
2012,MAYOR,"$1,825.00 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,826.00 "
2018,CULTURAL AFFAIRS,"$1,826.60 "
2012,CITY ADMINISTRATIVE OFFICER,"$1,829.00 "
2014,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$1,833.44 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,839.00 "
2014,CULTURAL AFFAIRS,"$1,844.00 "
2018,CULTURAL AFFAIRS,"$1,858.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,859.00 "
2016,MAYOR,"$1,861.82 "
2016,BUILDING AND SAFETY,"$1,866.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,874.13 "
2014,RECREATION AND PARKS,"$1,881.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,893.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,893.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,893.00 "
2013,TRANSPORTATION,"$1,895.00 "
2014,CULTURAL AFFAIRS,"$1,896.20 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,900.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,901.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,910.73 "
2015,TRANSPORTATION,"$1,913.92 "
2018,CULTURAL AFFAIRS,"$1,925.00 "
2017,CULTURAL AFFAIRS,"$1,930.24 "
2016,MAYOR,"$1,931.73 "
2016,CITY CLERK,"$1,935.07 "
2014,CITY ADMINISTRATIVE OFFICER,"$1,952.00 "
2015,CULTURAL AFFAIRS,"$1,960.00 "
2017,CULTURAL AFFAIRS,"$1,961.68 "
2013,CITY ADMINISTRATIVE OFFICER,"$1,972.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$1,973.00 "
2013,CULTURAL AFFAIRS,"$1,974.75 "
2013,CITY ADMINISTRATIVE OFFICER,"$1,978.00 "
2013,CULTURAL AFFAIRS,"$1,979.17 "
2015,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$1,982.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,993.09 "
2018,POLICE,"$1,995.14 "
2018,CULTURAL AFFAIRS,"$1,998.47 "
2012,CITY ADMINISTRATIVE OFFICER,"$1,999.00 "
2012,MAYOR,"$1,999.82 "
2015,EMPLOYEE RELATIONS BOARD,"$2,000.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$2,000.00 "
2014,EMPLOYEE RELATIONS BOARD,"$2,000.00 "
2013,EMPLOYEE RELATIONS BOARD,"$2,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$2,000.00 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2012,PUBLIC WORKS - STREET SERVICES,"$2,000.00 "
2012,PUBLIC WORKS - BOARD OF PUBLIC WORKS,"$2,000.00 "
2015,MAYOR,"$2,000.00 "
2012,MAYOR,"$2,000.00 "
2012,EMPLOYEE RELATIONS BOARD,"$2,000.00 "
2013,PUBLIC WORKS - BOARD OF PUBLIC WORKS,"$2,000.00 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,000.00 "
2014,NON-DEPARTMENTAL - GENERAL,"$2,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$2,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$2,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$2,000.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$2,000.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$2,000.00 "
2014,DISABILITY,"$2,000.00 "
2017,RECREATION AND PARKS,"$2,000.00 "
2016,INFORMATION TECHNOLOGY AGENCY,"$2,000.00 "
2018,INFORMATION TECHNOLOGY AGENCY,"$2,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$2,000.00 "
2017,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$2,000.00 "
2017,RECREATION AND PARKS,"$2,008.06 "
2017,CULTURAL AFFAIRS,"$2,016.70 "
2016,CULTURAL AFFAIRS,"$2,021.94 "
2014,CULTURAL AFFAIRS,"$2,022.86 "
2012,CITY CLERK,"$2,027.29 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$2,034.00 "
2014,AGING,"$2,038.00 "
2016,NON-DEPARTMENTAL - GENERAL,"$2,040.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$2,040.30 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$2,044.00 "
2014,MAYOR,"$2,046.33 "
2013,CITY ADMINISTRATIVE OFFICER,"$2,049.00 "
2012,GENERAL SERVICES,"$2,050.12 "
2013,CITY CLERK,"$2,054.70 "
2016,CULTURAL AFFAIRS,"$2,054.84 "
2014,CITY CLERK,"$2,068.74 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,069.18 "
2018,POLICE,"$2,070.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$2,075.06 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$2,078.00 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$2,098.00 "
2015,NEIGHBORHOOD EMPOWERMENT,"$2,100.00 "
2013,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$2,100.00 "
2015,CULTURAL AFFAIRS,"$2,109.87 "
2013,CITY ADMINISTRATIVE OFFICER,"$2,110.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$2,116.10 "
2015,CITY ETHICS COMMISSION,"$2,125.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$2,125.50 "
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$2,126.54 "
2015,ZOO,"$2,140.44 "
2015,CULTURAL AFFAIRS,"$2,142.74 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$2,149.00 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$2,150.00 "
2015,MAYOR,"$2,154.23 "
2016,CULTURAL AFFAIRS,"$2,160.00 "
2017,CULTURAL AFFAIRS,"$2,160.77 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$2,167.76 "
2017,CULTURAL AFFAIRS,"$2,169.35 "
2015,CITY ADMINISTRATIVE OFFICER,"$2,170.00 "
2015,CULTURAL AFFAIRS,"$2,171.25 "
2015,CULTURAL AFFAIRS,"$2,180.00 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$2,183.69 "
2012,ANIMAL SERVICES,"$2,186.08 "
